════════════════════════════════════
商品清单备份（自动生成）
生成时间: 2026-08-12 12:54
来源: 生产出货统计表.xlsm（第一天 08-11）
════════════════════════════════════

 1. 豆沙包  （图片: 豆沙包）
 2. 经典肉松包  （图片: 经典肉松包）
 3. 香葱肉松卷  （图片: 香葱肉松卷）
 4. 香肠肉松包  （图片: 香肠肉松包）
 5. 火腿肠包  （图片: 火腿肠包）
 6. 猪扒包  （图片: 猪扒包）
 7. 菠萝包  （图片: 菠萝包）
 8. 方腿芝士包  （图片: 方腿芝士包）
 9. 花生杏仁包  （图片: 花生杏仁包）
10. 热狗包小可爱  （图片: 热狗包小可爱）
11. 芝士紫薯包  （图片: 芝士紫薯包）
12. 芝士香肠包  （图片: 芝士香肠包）
13. 芝士鸡肉包  （图片: 芝士鸡肉包）
14. 蓝莓包  （图片: 蓝莓包）
15. 黄油蛋挞  （图片: 黄油蛋挞）
16. 花边蛋挞  （图片: 花边蛋挞）
17. 切块披萨  （图片: 切块披萨）
18. 酸奶薄脆包  （图片: 酸奶薄脆包）
19. 酸奶提子  （图片: 酸奶提子）
20. 虎皮芋泥卷  （图片: 虎皮芋泥卷）
21. 黑森林蛋糕  （图片: 黑森林蛋糕）
22. 红丝绒蛋糕  （图片: 红丝绒蛋糕）
23. 红丝绒慕斯蛋糕  （图片: 红丝绒慕斯蛋糕）
24. 法式泡芙  （图片: 法式泡芙）
25. 特仑苏蛋糕  （图片: 特仑苏蛋糕）
26. 芋泥雪贝  （图片: 芋泥雪贝）
27. 奥利奥雪媚娘  （图片: 奥利奥雪媚娘）
28. 芒果雪媚娘  （图片: 芒果雪媚娘）
29. 原味吐司  （图片: 原味吐司）
30. 450G吐司  （图片: 450G吐司）
31. 安佳奶香片  （图片: 安佳奶香片）
32. 蛋黄酥  （图片: 蛋黄酥）
33. 老婆饼  （图片: 老婆饼）
34. 榴莲酥  （图片: 榴莲酥）
35. 叉烧酥  （图片: 叉烧酥）
36. Q心蛋黄酥  （图片: Q心蛋黄酥）
37. 熔岩巧克力  （图片: 熔岩巧克力）
38. 抹茶奶油蛋糕  （图片: 抹茶奶油蛋糕）
39. 绿豆饼  （图片: 绿豆饼）
40. 脏脏桶  （图片: 脏脏桶）
41. 肉松小贝  （图片: 肉松小贝）
42. 北海道戚风杯  （图片: 北海道戚风杯）
43. 曲奇酥  （图片: 曲奇酥）
44. 手工蛋卷  （图片: 手工蛋卷）
45. 红豆包  （图片: 红豆包）
46. 8元蛋糕  （图片: 8元蛋糕）

共 46 个商品
